,MFCC_1,MFCC_1,MFCC_2,MFCC_2,MFCC_3,MFCC_3,MFCC_4,MFCC_4,MFCC_5,MFCC_5,MFCC_6,MFCC_6,MFCC_7,MFCC_7,MFCC_8,MFCC_8,MFCC_9,MFCC_9,MFCC_10,MFCC_10,MFCC_11,MFCC_11,MFCC_12,MFCC_12,MFCC_13,MFCC_13,MFCC_14,MFCC_14,MFCC_15,MFCC_15,MFCC_16,MFCC_16,MFCC_17,MFCC_17,MFCC_18,MFCC_18,MFCC_19,MFCC_19,MFCC_20,MFCC_20,MFCC_21,MFCC_21,MFCC_22,MFCC_22,MFCC_23,MFCC_23,MFCC_24,MFCC_24,MFCC_25,MFCC_25,MFCC_26,MFCC_26,MFCC_27,MFCC_27,MFCC_28,MFCC_28,MFCC_29,MFCC_29,MFCC_30,MFCC_30,MFCC_31,MFCC_31,MFCC_32,MFCC_32,MFCC_33,MFCC_33,MFCC_34,MFCC_34,MFCC_35,MFCC_35,MFCC_36,MFCC_36,MFCC_37,MFCC_37,MFCC_38,MFCC_38,MFCC_39,MFCC_39,MFCC_40,MFCC_40,Severity,Severity
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Severity_Label,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Healthy,-444.39,99.43,91.39,25.07,2.88,28.91,9.67,29.61,-19.92,20.13,-14.12,20.32,-13.05,14.68,-13.09,13.74,-16.72,12.96,-8.59,12.21,-9.93,9.35,-8.36,9.27,-8.75,8.71,-5.94,7.87,-8.01,7.48,-6.21,8.22,-6.05,6.75,-6.07,6.19,-5.76,5.47,-4.81,6.58,-5.82,5.11,-5.07,5.06,-6.69,5.15,-4.39,4.73,-4.21,5.69,-3.75,7.26,-1.25,7.9,-1.05,9.04,-1.28,8.32,-0.69,8.3,-1.51,7.91,-1.05,8.36,-0.95,8.01,0.68,9.58,2.01,10.72,3.36,11.97,3.69,10.65,3.06,10.16,2.0,9.38,2.12,8.85,0.0,0.0
Parkinsons_Disease,-430.92,98.36,109.53,40.12,17.58,29.24,24.63,30.29,-3.6,24.21,-2.2,19.74,-3.55,15.83,-0.61,12.62,-5.25,12.01,0.71,11.51,-4.1,9.84,-3.76,10.21,-3.46,9.85,-3.41,8.73,-2.81,8.91,-4.67,8.84,-2.8,7.3,-3.82,7.39,-3.83,7.03,-3.05,6.49,-5.33,6.26,-2.7,5.06,-5.23,5.94,-3.14,5.71,-4.72,6.43,-2.93,6.47,-4.07,6.69,-1.9,8.45,-1.91,9.31,-0.94,11.13,-0.81,11.86,0.19,12.15,-0.52,11.54,-0.79,9.94,-1.15,9.02,-0.14,9.61,-0.04,10.36,1.02,11.0,0.73,11.05,1.15,10.72,1.0,0.0
